,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
6758,5.70295207763317e+17,negative,1.0,Cancelled Flight,1.0,Delta,Marty_H,0,cancelled flighting flight pushing next day id lose 150 hotel trying get sameday flight,"(40.7587979, -73.9623427)",2015-02-24 10:52:27 -0800,,Eastern Time (US & Canada)
6759,5.7029446047676e+17,positive,0.6994,,,Delta,Sujecuevas19,0,thank information,"(33.7489924, -84.3902644)",2015-02-24 10:49:29 -0800,,Athens
6761,5.70293669628158e+17,neutral,1.0,,,Delta,Sujecuevas19,0,ok dominican republic number,"(33.7489924, -84.3902644)",2015-02-24 10:46:21 -0800,,Athens
6763,5.70292174044201e+17,negative,1.0,Cancelled Flight,1.0,Delta,Marty_H,0,cancelled flighted flight went another airline 2 leave 2day cancelled flighted also called jetblue amp got flight 250,"(40.7587979, -73.9623427)",2015-02-24 10:40:24 -0800,,Eastern Time (US & Canada)
6764,5.70291934306169e+17,neutral,0.6638,,,Delta,muneca641,0,sale please soon need tan,"(33.7489924, -84.3902644)",2015-02-24 10:39:27 -0800,,Quito
6766,5.7029181708793e+17,neutral,1.0,,,Delta,Sujecuevas19,0,hello good afternoon need know much flying summer june 13th,"(33.7489924, -84.3902644)",2015-02-24 10:38:59 -0800,,Athens
6768,5.7029147352832e+17,negative,1.0,Late Flight,0.6647,Delta,miss_caitb,0,upset lack communication weve received time flight 1170 mco,"(30.2711286, -97.7436995)",2015-02-24 10:37:37 -0800,,Central Time (US & Canada)
6770,5.70289587794407e+17,negative,1.0,Customer Service Issue,1.0,Delta,_carolion,0,ive spent three hour talking different people couldnt help probably wont using jetblue,"(33.7489924, -84.3902644)",2015-02-24 10:30:07 -0800,,Quito
6771,5.70289518194127e+17,positive,1.0,,,Delta,MmmRubin,0,great,"(40.7587979, -73.9623427)",2015-02-24 10:29:51 -0800,,Eastern Time (US & Canada)
6772,5.70288803849638e+17,positive,0.6551,,,Delta,Fendog75,0,thanks great recap wouldnt able sleep nervous bad guy getting away,"(32.612602, -90.0367512)",2015-02-24 10:27:00 -0800,Canton MA,Eastern Time (US & Canada)
6774,5.70287704728085e+17,positive,1.0,,,Delta,MmmRubin,0,flight 117 proud fly jet blue,"(40.7587979, -73.9623427)",2015-02-24 10:22:38 -0800,,Eastern Time (US & Canada)
6775,5.70287622343541e+17,positive,0.6673,,0.0,Delta,lizgottbrecht,0,awesome thanks hold,"(42.3554334, -71.060511)",2015-02-24 10:22:19 -0800,"Boston, MA ",Eastern Time (US & Canada)
6776,5.70287303681294e+17,neutral,0.6522,,,Delta,_carolion,0,im sure anything help thatd great,"(33.7489924, -84.3902644)",2015-02-24 10:21:03 -0800,,Quito
6777,5.70287210219606e+17,negative,1.0,Customer Service Issue,1.0,Delta,_carolion,0,call back five time get someone phone knew time getaway went 200,"(33.7489924, -84.3902644)",2015-02-24 10:20:40 -0800,,Quito
6779,5.70284840752427e+17,negative,1.0,Flight Booking Problems,0.6651,Delta,lizgottbrecht,0,cant book flight outdated forced optin verified visa nonsense help girl want get,"(42.3554334, -71.060511)",2015-02-24 10:11:16 -0800,"Boston, MA ",Eastern Time (US & Canada)
6782,5.70280755085091e+17,positive,0.3474,,0.0,Delta,AndrewGresenz,0,chance actually flying charleston today cold rainy weather south place,"(42.1252079, -71.1022015)",2015-02-24 09:55:01 -0800,"Stoughton, MA",Eastern Time (US & Canada)
6784,5.70279787287093e+17,negative,0.6747,Can't Tell,0.6747,Delta,ch00bee,0,poop barely work,"(33.7489924, -84.3902644)",2015-02-24 09:51:11 -0800,,Atlantic Time (Canada)
6785,5.70278619416695e+17,positive,1.0,,,Delta,leezbtv,0,thanks quick reply wanted make sure wasnt account,"(47.6038321, -122.330062)",2015-02-24 09:46:32 -0800,Seattle,Pacific Time (US & Canada)
6786,5.70277811795001e+17,negative,1.0,Bad Flight,0.6842,Delta,ch00bee,0,wifi lie hate,"(33.7489924, -84.3902644)",2015-02-24 09:43:20 -0800,,Atlantic Time (Canada)
6787,5.70277278627848e+17,negative,0.657,Flight Booking Problems,0.348,Delta,BethRunsDisney,0,issue website logging app know entering info correctly sign,"(40.7127281, -74.0060152)",2015-02-24 09:41:13 -0800,NYC,Eastern Time (US & Canada)
6788,5.70277054635057e+17,negative,1.0,Can't Tell,1.0,Delta,leezbtv,0,trouble signing trueblue today despite right credential getting able sign msg,"(47.6038321, -122.330062)",2015-02-24 09:40:19 -0800,Seattle,Pacific Time (US & Canada)
6789,5.70276843812733e+17,positive,1.0,,,Delta,Sanr1ck,0,wouldnt mind paying snack tix great job guy,"(39.7837304, -100.445882)",2015-02-24 09:39:29 -0800,US,Eastern Time (US & Canada)
6795,5.70265811623002e+17,negative,1.0,Customer Service Issue,1.0,Delta,heyheyman,0,appreciate credit trouble lack personal response trouble,"(42.3554334, -71.060511)",2015-02-24 08:55:39 -0800,"Boston, MA",Eastern Time (US & Canada)
6797,5.70264106059624e+17,neutral,1.0,,,Delta,tumblehawk,0,yer deal never seem include nycgtpdx nycgtpghwish,"(40.6526006, -73.9497211)",2015-02-24 08:48:52 -0800,"brooklyn, ny, us",
6799,5.70251671265083e+17,neutral,0.6609,,,Delta,Kristenrx5150,0,thank headed lbc oak,"(33.8347516, -117.911732)",2015-02-24 07:59:27 -0800,anaheim,
6800,5.70251142942171e+17,positive,1.0,,,Delta,Kristenrx5150,0,go napkin pretty much say,"(33.8347516, -117.911732)",2015-02-24 07:57:21 -0800,anaheim,
6802,5.70246294582772e+17,positive,1.0,,,Delta,Ruth_Slobodin,0,wed sure love see ruth justdoit youknowyouwantto know well,"(33.7489924, -84.3902644)",2015-02-24 07:38:05 -0800,,Atlantic Time (Canada)
6803,5.70246094157947e+17,neutral,0.6454,,,Delta,NENAFL,0,love youll never work day life,"(40.7587979, -73.9623427)",2015-02-24 07:37:18 -0800,,Eastern Time (US & Canada)
6804,5.70245603118211e+17,neutral,0.6667,,0.0,Delta,ArdensMommy,0,drop 75 take two people vice versa back forth,"(42.3788774, -72.032366)",2015-02-24 07:35:21 -0800,MA,Quito
6806,5.70243767585935e+17,positive,0.6578,,,Delta,gabs_tweets,0,longing look blue eye firstlove,"(40.7587979, -73.9623427)",2015-02-24 07:28:03 -0800,,Eastern Time (US & Canada)
6809,5.70239998383039e+17,neutral,0.6765,,,Delta,E_Nice718,0,please start flying guyana soon,"[40.70326657, -74.01106458]",2015-02-24 07:13:04 -0800,N 40°39' 0'' / W 73°55' 0'',Eastern Time (US & Canada)
6811,5.70239272575316e+17,positive,1.0,,,Delta,nokidhungry,0,wowthx thinking u greg heard sobewff amazing weve heard p thx info teamnkh,"(38.8950368, -77.0365427)",2015-02-24 07:10:11 -0800,"Washington, DC",Eastern Time (US & Canada)
6812,5.7023895080106e+17,positive,1.0,,,Delta,lalunkee,0,annnndddd booked flight easy,"(39.110011549999996, -84.51573863488514)",2015-02-24 07:08:55 -0800,All over ...,Eastern Time (US & Canada)
6814,5.70237440616571e+17,neutral,1.0,,,Delta,_blktray,0,fleet fleek,"(31.5554227, -110.3506996)",2015-02-24 07:02:54 -0800,COMPTON/AZ,
6815,5.70237343669608e+17,positive,0.6848,,,Delta,lalunkee,0,thank much,"(39.110011549999996, -84.51573863488514)",2015-02-24 07:02:31 -0800,All over ...,Eastern Time (US & Canada)
6816,5.7023524499927e+17,negative,1.0,Flight Booking Problems,1.0,Delta,lalunkee,0,need help im moving dc amp want book one way fare website wont seem let missing something,"(39.110011549999996, -84.51573863488514)",2015-02-24 06:54:11 -0800,All over ...,Eastern Time (US & Canada)
6817,5.70233869212856e+17,positive,1.0,,,Delta,eatgregeat,0,glowing crew aircraft sparkled guy know right might good partnership,"[34.02763089, -118.49627894]",2015-02-24 06:48:43 -0800,,Eastern Time (US & Canada)
6818,5.70233306664591e+17,neutral,0.6703,,0.0,Delta,scojjac,0,friend bought ticket last night one route cost way help,"(32.3140354, -106.779807)",2015-02-24 06:46:29 -0800,"Las Cruces, NM",Mountain Time (US & Canada)
6819,5.70232676491203e+17,neutral,0.6667,,,Delta,eatgregeat,0,returning sobewff limited carry space tummy next flight ill try snack,"[34.02761838, -118.49646336]",2015-02-24 06:43:59 -0800,,Eastern Time (US & Canada)
6820,5.70232616755929e+17,positive,0.6768,,,Delta,NBucketTV,0,glad like feel free steal,"(42.3554334, -71.060511)",2015-02-24 06:43:44 -0800,"Boston, MA",Eastern Time (US & Canada)
6821,5.70231750959329e+17,positive,0.6803,,0.0,Delta,eatgregeat,0,blue helped bring color eye promise didnt eat free snack,"[34.02764112, -118.49636416]",2015-02-24 06:40:18 -0800,,Eastern Time (US & Canada)
6822,5.70229813937463e+17,positive,1.0,,,Delta,nolimitlove,0,thanks customer like stay loyal check landing,"(33.7489924, -84.3902644)",2015-02-24 06:32:36 -0800,,America/New_York
6823,5.70227706140324e+17,positive,0.7067,,,Delta,NBucketTV,0,a320 pulling gate sunrise morning jetbluesofly jetblue airbus,"(42.3554334, -71.060511)",2015-02-24 06:24:14 -0800,"Boston, MA",Eastern Time (US & Canada)
6825,5.70226143045034e+17,positive,0.6667,,,Delta,JohnJJSmith,0,wish everyone felt like,"(43.04993455, -74.34043681294581)",2015-02-24 06:18:01 -0800,"NY,NY",
6826,5.70225899964129e+17,positive,1.0,,,Delta,thedaniburden,0,sound great thank,"(42.8867166, -78.8783922)",2015-02-24 06:17:03 -0800,"Buffalo, New York",Quito
6827,5.70225396404359e+17,negative,1.0,Customer Service Issue,0.6524,Delta,tonetone28,0,upon sale include btv usual jetbluehatesbtv,"(44.5990718, -72.5002608)",2015-02-24 06:15:03 -0800,Vermont,Atlantic Time (Canada)
6829,5.70222626712515e+17,positive,1.0,,,Delta,JohnJJSmith,0,nice see veteran advantage program gate sunday mcokeep good work jetblue,"(43.04993455, -74.34043681294581)",2015-02-24 06:04:03 -0800,"NY,NY",
6830,5.70221178658419e+17,positive,1.0,,,Delta,AStateOfSnark,0,incredible pr team,"(42.3554334, -71.060511)",2015-02-24 05:58:17 -0800,Boston,Atlantic Time (Canada)
6831,5.70218339118801e+17,positive,0.6316,,,Delta,MikeSmithMedia,0,thanks im finding lower fare already carrier direct flight july 8 13,"(40.8963634, -74.0659712)",2015-02-24 05:47:00 -0800,New York/New Jersey,Eastern Time (US & Canada)
6833,5.70215386102293e+17,negative,0.667,Lost Luggage,0.3335,Delta,elias_rubin,0,dmd,"(40.7127281, -74.0060152)",2015-02-24 05:35:16 -0800,"New York, NY",Pacific Time (US & Canada)
6834,5.70213762948567e+17,neutral,0.6439,,,Delta,sflcn,1,offering special fare,"(37.1677128, -94.8464256)",2015-02-24 05:28:49 -0800,South Florida,Eastern Time (US & Canada)
6835,5.70212129313317e+17,neutral,1.0,,,Delta,elias_rubin,0,believe website said could receive credit upcoming flight since cancelled flighted last one true,"(40.7127281, -74.0060152)",2015-02-24 05:22:20 -0800,"New York, NY",Pacific Time (US & Canada)
6836,5.70212047692161e+17,neutral,1.0,,,Delta,elias_rubin,0,month ago flight booked cancelled flight im flight booking problem separate flight different occasion,"(40.7127281, -74.0060152)",2015-02-24 05:22:00 -0800,"New York, NY",Pacific Time (US & Canada)
6837,5.70211016308597e+17,neutral,1.0,,,Delta,elias_rubin,0,hi friend question moment,"(40.7127281, -74.0060152)",2015-02-24 05:17:54 -0800,"New York, NY",Pacific Time (US & Canada)
6838,5.70208115205022e+17,positive,0.6811,,,Delta,jannasaurusrex,0,thanks kind word janna weappreciateyou trueblue im feeling like bos jetbluefame,"(42.0810056, -71.6206449)",2015-02-24 05:06:23 -0800,central mass,
6839,5.7020607782604e+17,positive,0.6633,,,Delta,jannasaurusrex,0,boarding back airplane first like bos sosmart jetblue frequentflyerappreciates alsoyayforsnacks,"(42.0810056, -71.6206449)",2015-02-24 04:58:17 -0800,central mass,
6840,5.70204309041893e+17,positive,0.7012,,,Delta,SarahEH255,0,sooo earlier said couldnt fly school trip,"(40.7587979, -73.9623427)",2015-02-24 04:51:15 -0800,,Eastern Time (US & Canada)
6841,5.70200546679726e+17,negative,1.0,Late Flight,1.0,Delta,Chewie240,0,flight 1856 delayed buffalo direct flight plane gate,"(42.8867166, -78.8783922)",2015-02-24 04:36:18 -0800,Buffalo,Eastern Time (US & Canada)
6843,5.70198506222195e+17,negative,1.0,Late Flight,1.0,Delta,deniseimperial,0,supposed vieques 3pm,"(37.7790262, -122.419906)",2015-02-24 04:28:12 -0800,,Pacific Time (US & Canada)
6845,5.70198289376678e+17,negative,0.6669,Late Flight,0.6669,Delta,deniseimperial,0,absolutely missed connection caused u miss ferry vieques get u vieques also flight voucher prbound,"(37.7790262, -122.419906)",2015-02-24 04:27:20 -0800,,Pacific Time (US & Canada)
6846,5.7019714689452e+17,neutral,1.0,,,Delta,geoffkeegan,0,hi rough idea january 2016 flight made available,"(40.7587979, -73.9623427)",2015-02-24 04:22:48 -0800,,Eastern Time (US & Canada)
6848,5.70195036782133e+17,positive,1.0,,,Delta,brandyanncakes,0,always amazing jetblue trueblue,"(42.3554334, -71.060511)",2015-02-24 04:14:25 -0800,boston ma,Atlantic Time (Canada)
6849,5.70193464467571e+17,negative,0.6598,Customer Service Issue,0.6598,Delta,deniseimperial,0,ive experienced better service making connecting flight badcustomerservice jfk pr,"(37.7790262, -122.419906)",2015-02-24 04:08:10 -0800,,Pacific Time (US & Canada)
6850,5.7019245248689e+17,neutral,0.6667,,,Delta,rkflyga,2,gate main terminal dca member keeping watch atct avgeek,"(39.416500850000006, -77.37190318935188)",2015-02-24 04:04:08 -0800,KFDK,Eastern Time (US & Canada)
6851,5.70190438281249e+17,positive,0.678,,,Delta,joahspearman,0,great land jfk,"(30.2711286, -97.7436995)",2015-02-24 03:56:08 -0800,Austin,Central Time (US & Canada)
6852,5.70184343857046e+17,negative,1.0,Customer Service Issue,0.6383,Delta,skenniston,0,service getting worse worse plane cant fly waiting 2nd aircraft much planning,"[42.3658858, -71.01423374]",2015-02-24 03:31:55 -0800,"Boston, MA",Eastern Time (US & Canada)
6853,5.70179466716176e+17,positive,0.6737,,,Delta,kbosspotter,0,haha ty know time lane open logan,"(42.36317665, -71.01364006269452)",2015-02-24 03:12:32 -0800,Logan International Airport,Atlantic Time (Canada)
6854,5.7017471307237e+17,neutral,1.0,,,Delta,DontenPhoto,0,flight 1447 n351jb jblu arrives following flight westchester county airport,"(26.9606125, -82.3576323996642)",2015-02-24 02:53:39 -0800,"Englewood, Florida",Eastern Time (US & Canada)
6855,5.70173181727674e+17,negative,1.0,Customer Service Issue,0.6872,Delta,kerifischer,0,seat assignment 5 min flightline 20 people deep guess im sitting baggage,"(26.1223084, -80.1433786)",2015-02-24 02:47:34 -0800,"Fort Lauderdale, FL",Central Time (US & Canada)
6856,5.70168203470447e+17,neutral,1.0,,,Delta,peteiuvara,0,go 2nd round trip ca week trueblue,"(40.7127281, -74.0060152)",2015-02-24 02:27:47 -0800,New York,Eastern Time (US & Canada)
6857,5.70137183442608e+17,positive,0.6554,,,Delta,BonnieBitchh,0,sure,"(40.7127281, -74.0060152)",2015-02-24 00:24:31 -0800,NYC ,Central Time (US & Canada)
6859,5.70102708734198e+17,negative,1.0,Can't Tell,0.6697,Delta,djcheros,0,worst flying experience ive ever suffered id appreciate money back,"(43.6610277, -70.2548596)",2015-02-23 22:07:32 -0800,"Portland, Maine",Eastern Time (US & Canada)
6866,5.70083989601411e+17,neutral,1.0,,,Delta,KnockoutOC,0,airport ready get red eye going soooooo sleepy noplacelikehome eventhoughits2degreesathome,"[33.8191302, -118.1455457]",2015-02-23 20:53:09 -0800,New York City,Atlantic Time (Canada)
6868,5.70079918782095e+17,negative,0.6858,Flight Attendant Complaints,0.3703,Delta,williamzitser,0,full capacity also pid extra seat perhaps crew could helpful,"(40.7127281, -74.0060152)",2015-02-23 20:36:58 -0800,NYC,Central Time (US & Canada)
6869,5.70077234570011e+17,negative,1.0,Flight Attendant Complaints,0.6718,Delta,williamzitser,0,twice said cant dim light first flight,"(40.7127281, -74.0060152)",2015-02-23 20:26:18 -0800,NYC,Central Time (US & Canada)
6870,5.70076673162543e+17,neutral,0.6608,,,Delta,mOnKofficial,0,hope youre still bae man,"(39.9534483, -75.1564447)",2015-02-23 20:24:05 -0800,Philadelphia/Cali,Eastern Time (US & Canada)
6871,5.70076595647427e+17,neutral,1.0,,,Delta,sunflwer1975,0,domestic wanted idea dont get surprised,"(42.3554334, -71.060511)",2015-02-23 20:23:46 -0800,"Boston, MA",Arizona
6872,5.70075711433609e+17,positive,1.0,,,Delta,MarkGuerra3,0,make two u lol blushing,"(37.4912282, -122.2286765)",2015-02-23 20:20:15 -0800,805 CA,
6873,5.70073705507725e+17,neutral,1.0,,,Delta,sunflwer1975,0,would storage container like green one acceptable check luggage 18gal tote,"[42.36005288, -71.06315559]",2015-02-23 20:12:17 -0800,"Boston, MA",Arizona
6874,5.70073661241057e+17,positive,0.6618,,,Delta,MarkGuerra3,0,happy anniversary hard believe youre 15 youre young,"(37.4912282, -122.2286765)",2015-02-23 20:12:06 -0800,805 CA,
6877,5.70068045500195e+17,neutral,0.6372,,0.0,Delta,djcheros,0,try harder take winner attitude work,"(43.6610277, -70.2548596)",2015-02-23 19:49:48 -0800,"Portland, Maine",Eastern Time (US & Canada)
6878,5.70066859330019e+17,negative,0.657,Can't Tell,0.657,Delta,djcheros,0,better better passenger flight108 jfk pwm,"(43.6610277, -70.2548596)",2015-02-23 19:45:05 -0800,"Portland, Maine",Eastern Time (US & Canada)
6879,5.70066554848743e+17,negative,1.0,Late Flight,1.0,Delta,djcheros,0,would air new plane weve redirected mechanical error aka delay 23,"(43.6610277, -70.2548596)",2015-02-23 19:43:52 -0800,"Portland, Maine",Eastern Time (US & Canada)
6880,5.70066245195829e+17,negative,1.0,Late Flight,1.0,Delta,djcheros,0,delay flight redirect gate tell stuck original gate would 13,"(43.6610277, -70.2548596)",2015-02-23 19:42:38 -0800,"Portland, Maine",Eastern Time (US & Canada)
6882,5.70066166930145e+17,negative,1.0,Damaged Luggage,0.3587,Delta,DarthVada_R2D2,0,definitely note whoever stole,"(33.7489924, -84.3902644)",2015-02-23 19:42:20 -0800,,Atlantic Time (Canada)
6883,5.70065109961323e+17,negative,1.0,Customer Service Issue,0.6662,Delta,DarthVada_R2D2,0,4 hour policy called said didnt report soon enough would changed noticed sooner,"(33.7489924, -84.3902644)",2015-02-23 19:38:08 -0800,,Atlantic Time (Canada)
6884,5.70063322449617e+17,negative,0.6196,Can't Tell,0.3152,Delta,DarthVada_R2D2,0,hopefully help someone future would different procedure discovered theft sooner,"(33.7489924, -84.3902644)",2015-02-23 19:31:01 -0800,,Atlantic Time (Canada)
6885,5.70061375592137e+17,negative,1.0,Lost Luggage,0.6666,Delta,DarthVada_R2D2,0,soon realized try figure stealing people bag security camera anything,"(33.7489924, -84.3902644)",2015-02-23 19:23:17 -0800,,Atlantic Time (Canada)
6886,5.70060184908911e+17,negative,1.0,Lost Luggage,1.0,Delta,DarthVada_R2D2,0,since stranded syr without ride missed window opportunity right matter 4 hour,"(33.7489924, -84.3902644)",2015-02-23 19:18:33 -0800,,Atlantic Time (Canada)
6888,5.70059462976918e+17,negative,0.6521,Lost Luggage,0.6521,Delta,djcheros,0,dont lose luggage,"(43.6610277, -70.2548596)",2015-02-23 19:15:41 -0800,"Portland, Maine",Eastern Time (US & Canada)
6889,5.70059116066017e+17,negative,0.699,Flight Booking Problems,0.3611,Delta,djcheros,0,directed mobile website direct link get together,"(43.6610277, -70.2548596)",2015-02-23 19:14:19 -0800,"Portland, Maine",Eastern Time (US & Canada)
6890,5.70058565974675e+17,negative,1.0,Can't Tell,1.0,Delta,djcheros,0,made many mistake short period time would lost job point,"(43.6610277, -70.2548596)",2015-02-23 19:12:07 -0800,"Portland, Maine",Eastern Time (US & Canada)
6892,5.70056726793359e+17,negative,1.0,Late Flight,1.0,Delta,djcheros,0,one four flight trip time hell company problem,"(43.6610277, -70.2548596)",2015-02-23 19:04:49 -0800,"Portland, Maine",Eastern Time (US & Canada)
6894,5.70050603851711e+17,neutral,0.6857,,,Delta,kbosspotter,0,cant find good photo got one goodnight,"(42.36317665, -71.01364006269452)",2015-02-23 18:40:29 -0800,Logan International Airport,Atlantic Time (Canada)
6895,5.70049623697461e+17,positive,1.0,,,Delta,jennielin,0,fyi im onboard 616 comfortably travelling jfk seat problem said thanks making flying civilized,"(37.7790262, -122.419906)",2015-02-23 18:36:35 -0800,"San Francisco, CA",Pacific Time (US & Canada)
6896,5.70049018820043e+17,positive,1.0,,,Delta,kbosspotter,0,like follow,"(42.36317665, -71.01364006269452)",2015-02-23 18:34:11 -0800,Logan International Airport,Atlantic Time (Canada)
6897,5.70048915518534e+17,neutral,0.6514,,,Delta,kbosspotter,0,,"(42.36317665, -71.01364006269452)",2015-02-23 18:33:47 -0800,Logan International Airport,Atlantic Time (Canada)
6898,5.70048890466112e+17,negative,1.0,Late Flight,1.0,Delta,MariaZarkadas,0,mco lag two hour delay sitting tarmac going 40 minute infant cry plane get u plane,"(40.7127281, -74.0060152)",2015-02-23 18:33:41 -0800,New York,
6899,5.70048804550005e+17,negative,1.0,Bad Flight,0.6304,Delta,DatingRev,0,maintenance flight landed jamaica go security get term 3 cleaned board,"(34.0536909, -118.242766)",2015-02-23 18:33:20 -0800,"Los Angeles, CA",Eastern Time (US & Canada)
6900,5.70047938401071e+17,negative,1.0,Customer Service Issue,0.6809,Delta,kbosspotter,0,thats answer,"(42.36317665, -71.01364006269452)",2015-02-23 18:29:54 -0800,Logan International Airport,Atlantic Time (Canada)
6901,5.70047651875594e+17,neutral,1.0,,,Delta,kbosspotter,0,ask ask pilot tell name aiecraft,"(42.36317665, -71.01364006269452)",2015-02-23 18:28:45 -0800,Logan International Airport,Atlantic Time (Canada)
6902,5.70047059878937e+17,neutral,0.6705,,,Delta,kbosspotter,0,airport code test go slc bos mco,"(42.36317665, -71.01364006269452)",2015-02-23 18:26:24 -0800,Logan International Airport,Atlantic Time (Canada)
6905,5.70043468321419e+17,neutral,1.0,,,Delta,LongBeachPost,1,formally request establish custom facility international flight,"(33.7690164, -118.191604)",2015-02-23 18:12:08 -0800,"Long Beach, California",Pacific Time (US & Canada)
6906,5.70042533679657e+17,negative,0.3523,Can't Tell,0.3523,Delta,borywrites,0,see started rt fleet fleek,"(40.8447854, -73.91537684951483)",2015-02-23 18:08:25 -0800,The Bronx || Inwood,Eastern Time (US & Canada)
6907,5.7004233957564e+17,negative,0.3548,Flight Booking Problems,0.3548,Delta,sharkb8t,0,navigating 2 rebooks due flu amp ice visit mother c rep helpful patient friendly,"(38.8950368, -77.0365427)",2015-02-23 18:07:39 -0800,"Washington, DC 20003",Eastern Time (US & Canada)
6909,5.70039630973829e+17,negative,0.6617,Late Flight,0.6617,Delta,DatingRev,0,well plane landed international terminal announced 10 pm new time,"(34.0536909, -118.242766)",2015-02-23 17:56:53 -0800,"Los Angeles, CA",Eastern Time (US & Canada)
6912,5.70035525761012e+17,negative,1.0,Late Flight,1.0,Delta,DatingRev,0,guess werent able anything improve time look even late flightr going zombie tomorrow,"(34.0536909, -118.242766)",2015-02-23 17:40:34 -0800,"Los Angeles, CA",Eastern Time (US & Canada)
6913,5.70032796472779e+17,neutral,1.0,,,Delta,therichardkirby,0,welp fleet fleek,"(33.79546225, -117.86834231577151)",2015-02-23 17:29:44 -0800,Everywhere,Quito
6914,5.70030390309552e+17,neutral,1.0,,,Delta,fromtheleftseat,0,plan repair brand via,"(33.4484367, -112.074141)",2015-02-23 17:20:10 -0800,Phoenix AZ,Arizona
6915,5.70027259999822e+17,neutral,0.6423,,,Delta,RogerSaintange,0,ok hope thy bahamas next,"(37.7790262, -122.419906)",2015-02-23 17:07:44 -0800,,Pacific Time (US & Canada)
6917,5.70023530466841e+17,positive,0.657,,0.0,Delta,junglejimboston,0,trying make look bad website say due weather charleston nc actually sc nc,"(42.3875968, -71.0994968)",2015-02-23 16:52:54 -0800,"Somerville, MA",
6918,5.70021779521086e+17,neutral,1.0,,,Delta,RobertPiacente,0,people working contact project work,"[40.76262466, -73.73946148]",2015-02-23 16:45:57 -0800,"Long Island, NY",Eastern Time (US & Canada)
6920,5.70020255793353e+17,negative,0.6803,Late Flight,0.6803,Delta,RobertPiacente,0,home guy recovered laugh extra day barbados open cuba soon,"[40.76262285, -73.7394313]",2015-02-23 16:39:54 -0800,"Long Island, NY",Eastern Time (US & Canada)
6921,5.70018254271463e+17,negative,1.0,Can't Tell,0.6932,Delta,4TONEMENT,0,one look must getting old damn,"(40.7587979, -73.9623427)",2015-02-23 16:31:56 -0800,,Eastern Time (US & Canada)
6923,5.70016801192456e+17,neutral,1.0,,,Delta,RogerSaintange,0,guy flying froward bahamas,"(37.7790262, -122.419906)",2015-02-23 16:26:10 -0800,,Pacific Time (US & Canada)
6924,5.7001631261071e+17,neutral,0.7087,,,Delta,2emmyz,0,fleet fleek,"(40.7587979, -73.9623427)",2015-02-23 16:24:13 -0800,,Eastern Time (US & Canada)
6927,5.70012000648081e+17,negative,1.0,Cancelled Flight,1.0,Delta,PaleoMezzo,0,flight tomorrow morning cancelled flighted amp cant seem rebook cant even get seat clear answer cancelled flighted,"(32.7867697, -79.7880359)",2015-02-23 16:07:05 -0800,"Isle of Palms, SC",Eastern Time (US & Canada)
