,text,airline_sentiment,nb_bow,nb_tfidf,dt_bow,dt_tfidf
2305,22 instead wait plane ottawa never came im back home tri tomorrow suitcas still lost,negative,negative,negative,negative,negative
10724,make purchas take money dont reservationexplain,negative,negative,negative,negative,negative
11702,best airway follow back plea,positive,positive,positive,positive,positive
5025,75yo mom say hire staff accommod audienc could learn lot she fl,negative,negative,negative,negative,negative
587,mobil app need construct ground o categori expens get right,negative,negative,negative,negative,negative
1640,pay cab back airport show baggag dept wet shirt suit viabl option 2nd time happen,negative,negative,negative,negative,negative
8421,get help hotel book issu,neutral,neutral,neutral,neutral,neutral
8576,feel nice weve got go let swap fool 5a make better,neutral,positive,positive,neutral,neutral
9678,remind today fli,negative,negative,negative,negative,negative
9178,houston hub aa employe bag made pa oop problem,negative,negative,negative,negative,negative
10881,reserv agent phone great job,positive,positive,positive,positive,positive
2553,arriv lax 803,neutral,positive,positive,neutral,neutral
6242,poor custom servic problem,negative,negative,negative,negative,negative
10417,im flight 623 dia ontario tomorrow morn access airport via taxi shuttl,neutral,neutral,neutral,neutral,neutral
2670,better custom servic john wayn airport,negative,negative,negative,negative,negative
11659,tri speak multipl peopl reserv desk 30 min hold waivethefe poorcustomerservic neptun,negative,negative,negative,negative,negative
5512,ill drop next time visit,positive,neutral,neutral,neutral,neutral
2575,fli home 930am event tomorrow push back flight 400 ticket wont get home time,negative,negative,negative,negative,negative
6769,date destin im head,neutral,neutral,neutral,neutral,neutral
10705,thought worst airlin nah guy far wors decent airlin,negative,negative,negative,negative,negative
6051,rapid reward member lovetotravel chach,neutral,neutral,neutral,neutral,neutral
7638,see flight boston pitt ok afternoon delay morn flight,neutral,neutral,neutral,neutral,neutral
3670,well sortaw r tri get aquadilla pr 1 flight goe day book ua cancel flight flight nj,negative,negative,negative,negative,negative
1982,2 hour 20 minut hold abl get cancel flightl flight chang delta,negative,negative,negative,negative,negative
11246,new problemhad wrong last name reserv airway fix new cant get tsa,negative,negative,negative,negative,negative
10853,call btv desk inform exist system dont make easi custom access,negative,negative,negative,negative,negative
4096,said would give u refund 30 day late flightr refund,negative,negative,negative,negative,negative
11216,let say directli correl flightd chanc replac case know would cost airlin le,negative,negative,negative,negative,negative
11560,u guy get much mani custom fuck badli u,negative,negative,negative,negative,negative
4933,thank 436 minor delay big deal appreci concern though board amaz servic,positive,positive,positive,positive,positive
1542,im ua1118 direct tv isnt work avoid futur,negative,negative,negative,negative,negative
4510,look forward fli swa friday luv airlin dtw mdw tu,positive,positive,positive,positive,positive
2205,thank upgrad plea tri get compani approv busi class travel,positive,neutral,neutral,positive,neutral
5229,absolut worst custom servic tri reach phone,negative,negative,negative,negative,negative
8250,oh ye hope expand airport soon fli see famili year,positive,positive,positive,neutral,neutral
1165,today take flight san francisco refus let u board babi earli time board wont let u take babi carryon bag,negative,negative,negative,negative,negative
8953,today jetblu flight 918 nycgtbo delay app say time websit say,negative,negative,negative,negative,negative
192,suck,negative,negative,negative,negative,negative
11913,exactli ill fli aa dalla airlin trust,positive,positive,positive,positive,positive
4534,disappoint servic ive receiv check onlin check flight statu onlin check airport,negative,negative,negative,negative,negative
5838,plea work contract offer servic,neutral,neutral,neutral,neutral,neutral
2890,thank,positive,positive,positive,positive,positive
7731,thank,positive,positive,positive,positive,positive
1547,appreci case wait extra 55 minut lost mechan fax log faxlik 80,negative,negative,negative,negative,negative
6139,whoa thank that want hear earli flight come thank repli,positive,positive,positive,positive,positive
8974,move delta direct thank accommod,positive,positive,positive,positive,positive
5523,tell marri lamp give ticket vega show plea desper,neutral,neutral,neutral,neutral,neutral
6511,worri would rather safe ground take chanc ye tomorrow bna reopen,positive,positive,positive,neutral,neutral
6014,would will help surpris bestfriend ticket go see destinationdragon gracia,neutral,neutral,neutral,neutral,neutral
8542,flyingitforward affect one small famili four would make huge differ life,positive,neutral,positive,neutral,neutral
6275,ive never met favorit band would sooo amaz win destin dragon,neutral,positive,positive,positive,positive
9164,ive never treat badli,negative,negative,negative,negative,negative
9997,new fa dfw clt morn great job well done,positive,positive,positive,positive,positive
4942,promis 4 room wednesday wentook3 hotel charg u 79 per room pink paper need white,negative,negative,negative,negative,negative
3234,contact other flight cant get websit work none info valid,negative,negative,negative,negative,negative
8550,would go la vega gorgeou go everi year fli guy vega gorgeou amp much,positive,positive,positive,neutral,neutral
3730,thank check,positive,positive,positive,positive,positive
1517,take look statu 683 sit ord aint cool yo,negative,negative,negative,negative,negative
9203,fault bought onlin get twice buy twice fault bougth ticket jfk mccaren usairway,negative,negative,negative,negative,negative
6243,one look like problem fix,negative,negative,negative,negative,negative
10661,ah given one shuttl voucher ever get back airport youll get bill,neutral,neutral,neutral,neutral,neutral
2172,956 desk attend state would sit awhil given clear lack commun seem norm,negative,negative,negative,negative,negative
11169,parti 4 book flight aug 1005am find much would cost chang earlier fl,neutral,neutral,neutral,neutral,neutral
7445,book flight jetblu separ 3yr old mother isnt bit stupid checkin headach,negative,negative,negative,negative,negative
5504,ahah love sw,positive,positive,positive,positive,positive
5438,flight sunday 22nd columbu denver got travel alert southwest app reschedul,neutral,positive,positive,neutral,neutral
10519,7th circl hell right dmv noshadetothedmv,negative,negative,negative,negative,negative
4989,here firstboth pilot first offic galley flight,negative,negative,negative,negative,negative
3370,flight ua5631 sfo burbank delay twice still plane sight get togeth,negative,negative,negative,negative,negative
5557,thank much access destinationdragon tonight cri die rn ripm,positive,positive,positive,positive,positive
11827,cant believ would refer number one seem get realli need help asap,negative,negative,negative,negative,negative
10634,got thank,positive,positive,positive,positive,positive
9533,understand im attempt chang inform ident tell call,neutral,neutral,neutral,neutral,neutral
3017,made feel guilti economi plu didnt pay extra leg room,negative,negative,negative,negative,negative
7483,flight flight book problem experi pretti great,positive,positive,positive,positive,positive
1010,custom care email phone rep speak mani issu cant place 2000 charact,negative,negative,negative,negative,negative
10042,quit cheap hire call center employe shouldnt take half day call,negative,negative,negative,negative,negative
10058,embarrass u air inabl manag weather delayshandl 4435 exampl,negative,negative,negative,negative,negative
4420,unfortun call answer servic horrid swa rolemodel finger point amp excus disappoint,negative,negative,negative,negative,negative
11977,awesom thank,positive,positive,positive,positive,positive
9695,rude unreli horribl compani equal rude unreli horribl employe stay tune,negative,negative,negative,negative,negative
1639,faa invest near miss ohar runway last wk,neutral,neutral,neutral,neutral,neutral
7533,thank make vacat worth current wait runway anoth hour deplan,negative,negative,negative,negative,negative
4226,thank kp luckili transfer mainten issu still delay didnt miss transfer,negative,negative,negative,negative,negative
1940,chang dkyde6 4583gt36 223 instead 3636gt606gt36 origin reserv 4404gt36 yesterday cancel flightl,neutral,neutral,neutral,neutral,neutral
4729,what even better price chang 2 minut sinc talk ladi still honor cheap1,positive,neutral,neutral,neutral,neutral
6060,feel flight 4251,negative,negative,negative,negative,negative
387,brilliant brisk boston cue vx363,neutral,positive,positive,neutral,neutral
5847,yall say flt 4200 time yet havent board 335 departur bc wait new crew subterfug,negative,negative,negative,negative,negative
419,vx use 6 lga slot instead 4 today ad au make le like,negative,negative,negative,negative,negative
5607,beauti day seattl,positive,neutral,neutral,neutral,neutral
4474,custom relat still openin texa,negative,negative,negative,negative,negative
8037,team offer inflight access journal content,neutral,neutral,neutral,neutral,neutral
4675,ye hope updat soon need cloth meet tomorrow,negative,negative,negative,negative,negative
10647,ive hold 75 minut wait talk someon flight tomorrow anoth number call,negative,negative,negative,negative,negative
7443,thank guy best,positive,positive,positive,positive,positive
6841,flight 1856 delay buffalo direct flight plane gate,negative,negative,negative,negative,negative
10141,reaccommod number lisa liza raleigh help,positive,neutral,neutral,neutral,neutral
9000,sadli im current book one flight tomorrow chang,negative,negative,negative,negative,negative
11423,100 total happi,negative,negative,negative,negative,negative
2561,typic get problem fix crew expir delay turn cancel flight,negative,negative,negative,negative,negative
5214,bag make greenvil tonight forgiven highhop,neutral,positive,neutral,neutral,neutral
7193,gern,neutral,neutral,neutral,neutral,neutral
7892,get 7 degre weatherher go westpalmbeachbound,neutral,neutral,neutral,neutral,neutral
2975,frontier current offer weather except weekend unit,neutral,neutral,neutral,neutral,neutral
8305,appar substitut pilot flight 69 bo fll cant found info avail counter,negative,negative,negative,negative,negative
10808,amp also told comp upgrad etc reflight book problem good enough usairwaysfail,negative,negative,negative,negative,negative
11251,test patienc even shall say morn wait hour gate find gate agent 130am,negative,negative,negative,negative,negative
857,tell file claim cloth purchas,negative,negative,negative,negative,negative
6929,rt fleet fleek,neutral,neutral,neutral,neutral,neutral
11915,got anoth flight thank,positive,positive,positive,positive,positive
11988,key point confus whether make chang even though initi flight book problem u airway metal,neutral,neutral,neutral,neutral,neutral
6190,im miser orlando vega nonstop right big must guest u requir 2 seat im 1a btw,negative,negative,negative,negative,negative
2886,current board food menu avail anywher onlin,neutral,neutral,neutral,neutral,neutral
4916,gave one tri figur could get 1 hr flight right nope delay hr seem everi time,negative,negative,negative,negative,negative
238,hahaha guy amaz love guy,positive,positive,positive,positive,positive
11867,cant even get hold wait speak someoneawesom,negative,negative,negative,negative,negative
9585,,negative,negative,negative,negative,negative
5171,im airport ive wait 3 hour bag one know shit mgmt know noth mad custom,negative,negative,negative,negative,negative
8464,want pay park fee orlando airport app told mom flight land 919 lie,negative,negative,negative,negative,negative
1289,hilari,negative,negative,negative,negative,negative
6477,think flight 1945 bna lax get ground tomorrow plea snowbama,neutral,neutral,neutral,neutral,neutral
5402,book flight get reimburs,neutral,neutral,neutral,neutral,neutral
11723,im travel around world end year 800 number good,negative,negative,negative,negative,negative
3518,fill form havent receiv sort email confirm receiv normal,neutral,neutral,neutral,neutral,neutral
11113,chang,neutral,neutral,neutral,neutral,neutral
10916,big thank yvonn anthoni chairman desk top tier custom servic today outstand servic amp support,positive,positive,positive,positive,positive
8107,perfect probabl need coffe stay awak night,positive,positive,positive,neutral,neutral
7405,go blue dont go back,negative,negative,negative,negative,negative
9552,flight plan delay tuesday due comput crash,negative,negative,negative,negative,negative
9356,suppos busi belong custom humili,negative,negative,negative,negative,negative
768,time check open flight ua80 manchest newark today,neutral,neutral,neutral,neutral,neutral
288,husband order three drink via screen never came awesom,negative,negative,negative,negative,negative
9730,followdm plea,neutral,neutral,neutral,neutral,neutral
4365,appreci yall get gate issu figur grr plenti open gate yet sit wait tarmac,negative,negative,negative,negative,negative
8207,time reevalu nyc carrier,negative,negative,negative,negative,negative
5372,attend atl airport awesom help cancel flightlat morn,positive,positive,positive,positive,positive
5851,flt delay schedul miss connect get help 8hh4p2,negative,negative,negative,negative,negative
5191,replac beer bravo cheer,positive,neutral,positive,neutral,neutral
10650,help updat ktn profil ticket book via aa amp info didnt get pas ive hold forev,negative,negative,negative,negative,negative
6577,need offer colleg student discount fli home,neutral,neutral,neutral,neutral,neutral
953,love new plane lga ord power outlet,negative,negative,negative,negative,negative
9119,pretti sure didnt actual take 710,negative,negative,negative,negative,negative
2630,even mention rude custom servic u busi owner id mortifi employe act,negative,negative,negative,negative,negative
4736,start daili b737700 flight columbu oh oakland 8aug avgeek,neutral,neutral,neutral,neutral,neutral
8198,thank loyalmosaicmemb,positive,positive,positive,positive,positive
9514,call,negative,negative,negative,negative,negative
4428,thx respond,negative,negative,negative,negative,negative
8083,sign trueblu twice happen everyon around,negative,negative,negative,negative,negative
110,getaway deal may 59 oneway lot cool citi cheapflight farecompar,neutral,positive,positive,neutral,neutral
8837,wellpric flight oahu could best friend,neutral,positive,positive,neutral,neutral
5517,im 1055 flight everyon nice help im hope well get fli thank,positive,positive,positive,positive,positive
1108,outsourc unit airlinesyour custom love outsourc outsourc outsourc,positive,positive,positive,positive,neutral
9626,flight 435 delay miss connect flight 457 plea help altern thank,negative,negative,negative,negative,negative
8885,respons replac,negative,negative,negative,negative,negative
11538,lost bag baggag handler broke open bag stole camera,negative,negative,negative,negative,negative
10245,weve hold 7 hour wife flight cancel flight,negative,negative,negative,negative,negative
11636,stuck charlott treat like nobodi staff,negative,negative,negative,negative,negative
1282,cancel flightl direct flight newarkbrussel last night 7 hour behind schedul eu compens would given u,negative,negative,negative,negative,negative
6734,guy jack price said price go lower smh,negative,negative,negative,negative,negative
2309,possibl make ticket chang via twitter travel intern cant make call thank advanc,neutral,neutral,neutral,positive,positive
8705,flight 1970 1366 1552 fli 1 way mind take ocean approach sleep,neutral,positive,positive,neutral,neutral
4783,got home hour half late flight least baggag deliv soak wet,negative,negative,negative,negative,negative
6109,could care custom reason request,negative,negative,negative,negative,negative
10467,flt last nght cancel flightedmechprob flt cancel flightedsnow final flt home 1st cl empti amp wont let sit,negative,negative,negative,negative,negative
7118,rt fleet fleek,neutral,neutral,neutral,neutral,neutral
5987,well deserv,positive,positive,positive,neutral,neutral
4235,polici behind chang passeng seat assign gate,neutral,neutral,neutral,neutral,neutral
9088,anoth fiasco nation forev jet gate 805am flight rdu,negative,negative,negative,negative,negative
7204,nope regular line multix faster liter direct wheelchair stroller line em,negative,negative,negative,negative,negative
9703,made reserv onlin didnt receiv confirm email bank said transact went u help,negative,negative,negative,negative,negative
6805,dont need cut servic charg give better fli experi that use jet blue first place,positive,positive,positive,neutral,neutral
3833,websit say 10 day 16 count,negative,negative,negative,negative,negative
9574,ive hold 30 minut count unaccept,negative,negative,negative,negative,negative
11053,thank final got bag custom servic rep wonder,positive,positive,positive,positive,positive
5012,line mile long sky harbor morn staff courteou expediti thank onechildfourbag,positive,positive,positive,positive,neutral
321,wtf happen pdx late flight march one way sfo 550,negative,negative,negative,negative,negative
7773,tri theyr help terribl custom servic airport least,negative,negative,negative,negative,negative
10642,7 pm still bag,negative,negative,negative,negative,negative
9375,sorri didnt realiz wasnt follow,neutral,neutral,neutral,neutral,neutral
4285,worri tweet make sure tag line fli friendli sky,positive,positive,positive,neutral,neutral
8373,gettin fanci mint lieflat nice work menu lobstermac bloodymari jetsett,positive,positive,positive,neutral,neutral
9961,pretti ridicul phx sky harbor 4 employe work check sunday afternoon 30 min amp count,negative,negative,negative,negative,negative
11995,thank,neutral,positive,positive,positive,positive
5322,offici word whether flight 3403 bwi manchest cancel flightl ive got 8hr drive snow,neutral,neutral,positive,neutral,neutral
8847,first base alreadi like style,positive,neutral,neutral,neutral,neutral
10739,cancel flightl origin flight aruba way home told dont seat never fli,negative,negative,negative,negative,negative
11961,continu win ive never miss flight nice littl quiet gate chang made possibl sheesh,positive,neutral,positive,neutral,neutral
11022,cant afford intern chang fee rebook trip want go home turn cant afford go home,negative,negative,negative,negative,negative
1365,happen delta took care u peac,negative,negative,negative,negative,negative
4030,3875 denver suppos board right yet land,negative,negative,negative,negative,negative
8569,best seat e190 board earli readi set go,positive,neutral,neutral,positive,positive
7903,hold 30 min place hold hung 2nd time 2 day look group rate bossju 512 519 10 peopl,negative,negative,negative,negative,negative
1644,,negative,negative,negative,negative,negative
247,thank guy sweet rout rocki airplanemodewason,positive,positive,positive,positive,positive
11325,oh certainli two 275 pend transact bank account realli happi charg doubl,negative,negative,negative,negative,negative
7182,great job get flight 28 10 minut earli bad 50 minut count wait bag,negative,negative,negative,negative,negative
9354,doesnt take account 450 cost 2 rent car 2 drive home,neutral,negative,neutral,neutral,neutral
462,ye fyi bff,neutral,positive,positive,neutral,neutral
5808,cant help made mistak drop earli bird check end luv,negative,negative,negative,negative,negative
6614,put next flight avail tomorrow morn idea bna open morn flight,negative,negative,negative,negative,negative
2855,custom servic crap,negative,negative,negative,negative,negative
11018,gladli take loyal custom money caus inconveni noth help fix problem caus,negative,negative,negative,negative,negative
215,ipad iphon click checkin link email receiv 24hr flight,neutral,neutral,neutral,neutral,neutral
3504,thank quick repli fill form idnumber8569822 hopetogetanswersoon,positive,positive,positive,positive,positive
8802,glad see go fix plea dm confirm check,positive,neutral,neutral,neutral,neutral
11367,paid ticket 13th still say pend normal want money account,negative,negative,negative,negative,negative
5103,speed flight az omaha need see muh boy,neutral,positive,positive,neutral,neutral
6605,thank got put flight tomorrow dont much faith itll get ground tomorrow though,positive,positive,positive,positive,positive
8738,bag deliv item stolen first look kate spade bag bottl spice rum wtf,negative,negative,negative,negative,negative
1067,dont see justifi cost get earli flight seat airlin charg conveni get passeng earli,negative,negative,negative,negative,negative
1841,read thread book 1st class seat 38e even though unit twtr account confirm eco premium,negative,negative,negative,negative,negative
4484,bday yesterday girl gave birth first born couldnt get courtesi flight chang lynn thank,negative,negative,negative,negative,negative
5817,wifi come,negative,negative,negative,negative,negative
6224,import accept other swadivers,neutral,neutral,positive,neutral,neutral
6009,love u southwest youv alway help travel lot wmi son infanttoddl u great,positive,positive,positive,positive,positive
2308,appreci earli arriv ua1002 chanc ord ever bring bag,negative,negative,negative,negative,negative
10512,mile expir 229 could take someon 10 day respondi 150000 mile lose iusair,negative,negative,negative,negative,negative
2953,without baggag 5 day cant get updat houston airport sinc monday worst servic ever,negative,negative,negative,negative,negative
3995,frequent user congrat u lost bag 20 year problem today staff rude still bag,negative,negative,negative,negative,negative
2433,hello unit take care call center mexico citi offic terribl attitud ladi help,negative,negative,negative,negative,negative
11690,ye pay pocket u help loo first class ticket coach want resolut comp,negative,negative,negative,negative,negative
7832,love airlineh websit tri book 2 ticket 1 w mile 1 wout absolut joke need lot work,negative,negative,negative,negative,negative
8988,need help ticket dm,neutral,neutral,neutral,neutral,neutral
9634,pl get back tallahasse one ever strand gainesvil long,negative,negative,negative,negative,negative
3102,still await repli ur custom servic 18 day respons lousi unitedairlin,negative,negative,negative,negative,negative
3281,would hard wors last time im sure youll give shot,negative,negative,negative,negative,negative
4478,bump preboard flight im fat whatev reason thank,positive,neutral,positive,positive,positive
11853,havent weve line servic desk 1hr 12 spot,negative,negative,negative,negative,negative
749,plu food taxi,negative,negative,negative,negative,negative
6939,nonprofit arc would love ticket reli airlin extract save abduct child return home,neutral,neutral,neutral,neutral,positive
5200,like see chang flight plz help thx,neutral,neutral,neutral,neutral,neutral
6569,thank much step game make day night elev music much appreci,positive,positive,positive,positive,positive
3679,possibl redeem mile one part round trip itinerari without book two separ reserv,neutral,neutral,neutral,neutral,neutral
3071,awesom new plane flight 1701,positive,positive,positive,positive,positive
11225,part 2 2 tri call cust serv system hung twice system issu plea advis,negative,negative,negative,negative,negative
7686,pas along wife daughter daughter friend elderli motherinlaw spent sever hour wait,negative,negative,negative,negative,negative
3457,request refund charg twice first place,negative,negative,negative,negative,negative
5205,chang hold music go hour 3 im loo,negative,negative,negative,negative,negative
7524,thank final gate,positive,positive,positive,positive,positive
9471,bag polici say stroller car seat need bring 2 car seat 1 stroller call detail,neutral,neutral,neutral,neutral,neutral
8816,happi accommod peanuttreenut allergi flight 1st onlin cover air provid,positive,neutral,neutral,neutral,neutral
5717,longer flight 300 seri wifi great retir,negative,negative,negative,negative,negative
9988,fail day long blame,negative,negative,negative,negative,negative
15,sfopdx schedul still mia,negative,negative,negative,negative,negative
229,best flight attend ever,positive,positive,positive,positive,positive
5362,great first night destinationdragon,positive,positive,positive,positive,positive
295,appli posit wonder guy receiv applic,neutral,neutral,neutral,neutral,neutral
3662,great look forward respons dm,positive,positive,positive,positive,positive
1187,den b44 agent 930am amaz mpagent check suck,positive,positive,positive,positive,positive
6880,delay flight redirect gate tell stuck origin gate would 13,negative,negative,negative,negative,negative
3058,dont know awar premier access line close termin feel love,negative,negative,negative,negative,negative
9785,wrong boston plain leav tonight son need get back state colleg pa,negative,negative,negative,negative,negative
4412,groupa group c never got sit next south west flight even honey moon,negative,negative,negative,negative,negative
753,ye,neutral,neutral,neutral,neutral,neutral
10841,tri check onlin flight tomorrow tri comput tablet phone got error messag devic,negative,negative,negative,negative,negative
11768,22 anoth sent wrong lineoh kiosk werent work thank,negative,negative,negative,negative,negative
10809,4 tomorrow miss meet today amp pointless 2 pay hotel today purpos trip screw,negative,negative,negative,negative,negative
11144,got philli monday got final destin south carolina wednesday accept,negative,negative,negative,negative,negative
9091,thank ruiningmi vacat best could done without,negative,negative,negative,negative,negative
5650,swa low fare ontim servic great manufactur quirki mmm much sign captiveaudi,negative,negative,negative,negative,negative
9443,oh yay gate agent decid deal upgrad list bump whoever closest,negative,negative,negative,negative,negative
5853,didnt say anyth patienc said probabl last time fli southwest suggest other,negative,negative,negative,negative,negative
6898,mco lag two hour delay sit tarmac go 40 minut infant cri plane get u plane,negative,negative,negative,negative,negative
3175,miss daughter suppos dpt ord 59pm dpted 830pm check week averag ua3645 shame 7 day averag 754pm,negative,negative,negative,negative,negative
2322,allow passeng flight block exit plane,negative,negative,negative,negative,negative
2570,thank great flight gfc cheer,positive,positive,positive,positive,positive
53,juli andrew hand,neutral,positive,positive,neutral,neutral
6779,cant book flight outdat forc optin verifi visa nonsens help girl want get,negative,negative,negative,negative,negative
7692,thank respons crew patient u also frustrat wouldnt bad airport close,negative,negative,negative,negative,negative
8271,thatd nice hope rack enough mile take trip seattl enjoy perfect latt citi coffe,positive,positive,positive,neutral,neutral
7924,appreci respons worst part lose non refund hotel orlando crew blame wind hope delay,negative,negative,negative,negative,negative
9454,usual sorri doesnt involv move peopl middl seat remov upgrad list guess that club perk,negative,negative,negative,negative,negative
442,plea add frequenc pdx portland,neutral,neutral,neutral,neutral,neutral
10664,dont worri found hotel 45min away got around 1130pm problem,positive,positive,positive,neutral,neutral
9416,u 728 lost ground power three differ time ground endlessli without air light entertain,negative,negative,negative,negative,negative
10480,flt ewr cancel flightl yet flt nyc usairway still fli,negative,negative,negative,negative,negative
2274,qualiti work go,negative,negative,negative,negative,negative
10153,u guy suck,negative,negative,negative,negative,negative
5250,cancel flightl flight 525 pm today due winter storm travel urg contact carrier info,neutral,neutral,neutral,neutral,neutral
10559,upgrad,neutral,neutral,neutral,neutral,neutral
4227,receiv email either inbox junkspam,neutral,neutral,neutral,neutral,neutral
1423,forc book flight differ date origin plan higher price 1130 felt like bait switch tactic,negative,negative,negative,negative,negative
2128,consid im stuck newark virtual sleep 30 hour doubt hope car rental avail,negative,negative,negative,negative,negative
535,lost voucher given miami aeroport jan 26 use,neutral,neutral,neutral,neutral,neutral
4985,thx note flight cancel flightl today book go anoth carrier,negative,negative,negative,negative,negative
1920,nicol quito airport took great care u week handl lost baggag seat chang professionalnic pat back,positive,positive,positive,positive,positive
8730,gate agent said origin plane got deic fluid engin creat short took plane servic,negative,negative,negative,negative,negative
11309,like lost busi terribl experi mani time stuck tarmac last min cancel flightl flight done,negative,negative,negative,negative,negative
6894,cant find good photo got one goodnight,neutral,neutral,neutral,neutral,neutral
2779,ok thank clarif,neutral,positive,positive,neutral,neutral
8702,final take lasfllsju letsgo,positive,positive,positive,neutral,neutral
9395,made huge relief thank help,positive,positive,positive,positive,positive
2358,rhonda c atlanta airport redeem guy got u straighten,positive,positive,positive,neutral,neutral
8116,dont cling safeti card safeti realli issu flight would land immedi,negative,negative,negative,negative,negative
9339,check standbi 1st class find list merger pain,negative,negative,negative,negative,negative
3642,mean real live person somewher go speak newark post secur,negative,negative,negative,negative,negative
2138,see two flight two seat morn get,neutral,neutral,neutral,neutral,neutral
6638,alreadi rebook tomorrow finger cross,neutral,neutral,neutral,neutral,neutral
771,yea get phoenix alreadi delay day peopl bullshit,negative,negative,negative,negative,negative
3981,big pilot 644 turn 1hr tarmac 20min delay arriv,positive,negative,positive,neutral,neutral
6152,took age one snapchat stori load one one demolish,negative,negative,negative,negative,negative
8325,card compani explain issu phone mexico purchas new ticket phone,neutral,neutral,neutral,neutral,neutral
2018,met agent taken care thx repli,positive,positive,positive,neutral,neutral
11521,stand one say anyth ill like miss flight bwi,negative,negative,negative,negative,negative
4218,tell,negative,negative,negative,negative,negative
9122,wast anoth hour life hold insan anoth way use voucher payment onlin,negative,negative,negative,negative,negative
556,thank concern contact custom care upon return australia,neutral,neutral,neutral,positive,positive
4224,dont need make chang reserv seat bought ticket error amp comp seat,negative,negative,negative,negative,negative
1164,would love help get today ewr take airlin connect thx,positive,positive,positive,neutral,neutral
7113,fleet fleek ihop start,neutral,neutral,neutral,neutral,neutral
2904,clean region jet take hour,negative,negative,negative,negative,negative
9281,help,neutral,neutral,neutral,neutral,neutral
8266,servic agent mco great enough work right,negative,negative,negative,negative,negative
11958,say dumb thing beat around bush your flight cancel flightl prepar compass,negative,negative,negative,negative,negative
7592,cpap machin sleep apnea ok carri also small bag cloth,neutral,neutral,neutral,neutral,neutral
4110,alreadi reschedul flight cancel flightl hotel room paid,negative,negative,negative,negative,negative
129,flight 882 cancel flightl,neutral,neutral,neutral,neutral,neutral
