airline_sentiment,airline_sentiment_confidence,text,negativereason_confidence,sentimiento_nb,sentimiento_dt
negative,1.0,need help im moving dc amp want book one way fare website wont seem let missing something,1.0,neutral,neutral
positive,1.0,glowing crew aircraft sparkled guy know right might good partnership,,positive,neutral
neutral,0.6703,friend bought ticket last night one route cost way help,0.0,neutral,neutral
neutral,0.6667,returning sobewff limited carry space tummy next flight ill try snack,,neutral,negative
positive,0.6768,glad like feel free steal,,positive,neutral
positive,0.6803,blue helped bring color eye promise didnt eat free snack,0.0,positive,neutral
positive,1.0,thanks customer like stay loyal check landing,,positive,positive
positive,0.7067,a320 pulling gate sunrise morning jetbluesofly jetblue airbus,,positive,neutral
positive,0.6667,wish everyone felt like,,positive,neutral
positive,1.0,sound great thank,,positive,positive
negative,1.0,upon sale include btv usual jetbluehatesbtv,0.6524,negative,neutral
positive,1.0,nice see veteran advantage program gate sunday mcokeep good work jetblue,,positive,neutral
positive,1.0,incredible pr team,,positive,neutral
positive,0.6316,thanks im finding lower fare already carrier direct flight july 8 13,,positive,positive
negative,0.667,dmd,0.3335,neutral,neutral
neutral,0.6439,offering special fare,,neutral,neutral
neutral,1.0,believe website said could receive credit upcoming flight since cancelled flighted last one true,,negative,negative
neutral,1.0,month ago flight booked cancelled flight im flight booking problem separate flight different occasion,,negative,negative
neutral,1.0,hi friend question moment,,neutral,neutral
positive,0.6811,thanks kind word janna weappreciateyou trueblue im feeling like bos jetbluefame,,positive,positive
positive,0.6633,boarding back airplane first like bos sosmart jetblue frequentflyerappreciates alsoyayforsnacks,,positive,neutral
positive,0.7012,sooo earlier said couldnt fly school trip,,positive,neutral
negative,1.0,flight 1856 delayed buffalo direct flight plane gate,1.0,negative,negative
negative,1.0,supposed vieques 3pm,1.0,negative,neutral
negative,0.6669,absolutely missed connection caused u miss ferry vieques get u vieques also flight voucher prbound,0.6669,negative,negative
neutral,1.0,hi rough idea january 2016 flight made available,,neutral,negative
positive,1.0,always amazing jetblue trueblue,,positive,neutral
negative,0.6598,ive experienced better service making connecting flight badcustomerservice jfk pr,0.6598,negative,negative
neutral,0.6667,gate main terminal dca member keeping watch atct avgeek,,neutral,neutral
positive,0.678,great land jfk,,positive,positive
negative,1.0,service getting worse worse plane cant fly waiting 2nd aircraft much planning,0.6383,negative,neutral
positive,0.6737,haha ty know time lane open logan,,neutral,neutral
neutral,1.0,flight 1447 n351jb jblu arrives following flight westchester county airport,,neutral,negative
negative,1.0,seat assignment 5 min flightline 20 people deep guess im sitting baggage,0.6872,negative,neutral
neutral,1.0,go 2nd round trip ca week trueblue,,neutral,neutral
positive,0.6554,sure,,neutral,neutral
negative,1.0,worst flying experience ive ever suffered id appreciate money back,0.6697,negative,neutral
neutral,1.0,airport ready get red eye going soooooo sleepy noplacelikehome eventhoughits2degreesathome,,neutral,neutral
negative,0.6858,full capacity also pid extra seat perhaps crew could helpful,0.3703,negative,neutral
negative,1.0,twice said cant dim light first flight,0.6718,negative,negative
neutral,0.6608,hope youre still bae man,,positive,neutral
neutral,1.0,domestic wanted idea dont get surprised,,neutral,neutral
positive,1.0,make two u lol blushing,,positive,neutral
neutral,1.0,would storage container like green one acceptable check luggage 18gal tote,,neutral,neutral
positive,0.6618,happy anniversary hard believe youre 15 youre young,,positive,neutral
neutral,0.6372,try harder take winner attitude work,0.0,negative,neutral
negative,0.657,better better passenger flight108 jfk pwm,0.657,negative,neutral
negative,1.0,would air new plane weve redirected mechanical error aka delay 23,1.0,negative,neutral
negative,1.0,delay flight redirect gate tell stuck original gate would 13,1.0,negative,negative
negative,1.0,definitely note whoever stole,0.3587,positive,neutral
negative,1.0,4 hour policy called said didnt report soon enough would changed noticed sooner,0.6662,negative,negative
negative,0.6196,hopefully help someone future would different procedure discovered theft sooner,0.3152,negative,neutral
negative,1.0,soon realized try figure stealing people bag security camera anything,0.6666,positive,neutral
negative,1.0,since stranded syr without ride missed window opportunity right matter 4 hour,1.0,negative,negative
negative,0.6521,dont lose luggage,0.6521,negative,neutral
negative,0.699,directed mobile website direct link get together,0.3611,negative,neutral
negative,1.0,made many mistake short period time would lost job point,1.0,negative,neutral
negative,1.0,one four flight trip time hell company problem,1.0,negative,negative
neutral,0.6857,cant find good photo got one goodnight,,neutral,neutral
positive,1.0,fyi im onboard 616 comfortably travelling jfk seat problem said thanks making flying civilized,,negative,positive
positive,1.0,like follow,,neutral,neutral
neutral,0.6514,,,neutral,neutral
negative,1.0,mco lag two hour delay sitting tarmac going 40 minute infant cry plane get u plane,1.0,negative,negative
negative,1.0,maintenance flight landed jamaica go security get term 3 cleaned board,0.6304,negative,negative
negative,1.0,thats answer,0.6809,negative,neutral
neutral,1.0,ask ask pilot tell name aiecraft,,neutral,neutral
neutral,0.6705,airport code test go slc bos mco,,neutral,neutral
neutral,1.0,formally request establish custom facility international flight,,neutral,negative
negative,0.3523,see started rt fleet fleek,0.3523,neutral,neutral
negative,0.3548,navigating 2 rebooks due flu amp ice visit mother c rep helpful patient friendly,0.3548,negative,neutral
negative,0.6617,well plane landed international terminal announced 10 pm new time,0.6617,negative,neutral
negative,1.0,guess werent able anything improve time look even late flightr going zombie tomorrow,1.0,negative,neutral
neutral,1.0,welp fleet fleek,,neutral,neutral
neutral,1.0,plan repair brand via,,neutral,neutral
neutral,0.6423,ok hope thy bahamas next,,neutral,neutral
positive,0.657,trying make look bad website say due weather charleston nc actually sc nc,0.0,positive,neutral
neutral,1.0,people working contact project work,,negative,neutral
negative,0.6803,home guy recovered laugh extra day barbados open cuba soon,0.6803,positive,neutral
negative,1.0,one look must getting old damn,0.6932,negative,neutral
neutral,1.0,guy flying froward bahamas,,positive,neutral
neutral,0.7087,fleet fleek,,neutral,neutral
negative,1.0,flight tomorrow morning cancelled flighted amp cant seem rebook cant even get seat clear answer cancelled flighted,1.0,negative,negative
neutral,0.6356,listen im gon na deny rt fleet fleek,,neutral,neutral
neutral,1.0,rt fleet fleek,,neutral,neutral
positive,1.0,found camera thank rock,,positive,positive
neutral,1.0,fleet fleek smh,,neutral,neutral
neutral,1.0,um wut fleet fleek,,neutral,neutral
positive,0.6783,stop please rt fleet fleek,,neutral,neutral
positive,1.0,gotcha thanks update im ready go whenever enjoy evening,,positive,positive
neutral,1.0,nonprofit arc would love ticket rely airline extraction saving abducted child returning home,,neutral,neutral
negative,1.0,gotcha lessening delay part happening right,1.0,negative,neutral
negative,0.6751,social agency cant nice thing fleet fleek,0.6751,neutral,neutral
neutral,1.0,rt new airline expected make way mem,,neutral,neutral
positive,0.6714,well thankfully theyve got nice food court herewhen update posted,,neutral,neutral
neutral,1.0,smh rt fleet fleek,,neutral,neutral
negative,0.3598,fleet fleek plz stop,0.3598,neutral,neutral
neutral,1.0,fleet fleek,,neutral,neutral
neutral,0.6701,heard youre planning letting people fly overhead compartment would,0.0,neutral,neutral
negative,0.6771,heard company studying popular lingo advertising depressing embarrassing,0.6771,neutral,neutral
negative,0.6954,stop,0.6954,negative,neutral
negative,1.0,idea caused delay flight 1316 fll gt jax,1.0,negative,negative
positive,1.0,worked ty,,positive,neutral
neutral,0.6633,im saying change amazing like miami,,neutral,neutral
negative,0.65,app still saying cant dm,0.3609,neutral,neutral
neutral,0.6616,lololololol fleet fleek,0.0,neutral,neutral
negative,1.0,flight delayed hope dont miss connecting please dont fuck girlfriend,1.0,negative,negative
neutral,1.0,lmfao,,neutral,neutral
neutral,1.0,whats good miami terminal,,neutral,neutral
neutral,1.0,fleet fleek oh word,,neutral,neutral
neutral,1.0,mom always said never settle chip aint blue wont,,neutral,neutral
positive,1.0,would prefer similar picture full e190 tail great shot,,positive,positive
positive,1.0,relieved im flying listening everyone neighboring gate bitch spirit airline better,,positive,neutral
neutral,1.0,fleet fleek let keep professional,,neutral,neutral
positive,1.0,2 great flight bahamas even bad weather northeast thanks great service,,positive,positive
neutral,1.0,omgee onfleek many people even know mean lol,,neutral,neutral
negative,0.3707,received voucher want improve relation front passenger,0.3707,negative,neutral
positive,1.0,excited hear move towards international travel long beach airport,,positive,neutral
neutral,0.6598,two row,0.0,neutral,neutral
positive,0.6973,thanks much talking article twitter chat came great contentmarketing,,positive,positive
negative,1.0,three hour delayed flight staring blank screen least head could download movie,1.0,negative,negative
negative,1.0,really proactive passenger know entertainment system isnt working least let get mag,0.6429,negative,neutral
neutral,1.0,hi flew airline australia saw zero kangaroo rectified,,neutral,neutral
neutral,1.0,didnt fleet fleek,,neutral,neutral
neutral,1.0,know flight deemed dark flight,,neutral,negative
neutral,1.0,bruh fleet fleek,,neutral,neutral
neutral,0.6739,check believe given credit automatically,0.0,negative,neutral
negative,0.6912,noooo dont please dont rt fleet fleek,0.3456,neutral,neutral
neutral,0.3488,fleet fleek lol wut,0.0,neutral,neutral
neutral,0.7065,fleet fleek lmfaooooo hook flight,,neutral,negative
neutral,0.6471,indeed,0.0,neutral,neutral
negative,1.0,major planewide directtv issue yesterday system kept reset crew member,0.6809,negative,neutral
negative,1.0,helping since there bunch u trying get time,0.636,negative,neutral
neutral,0.7158,got time reply share thought greater detail via web form,,neutral,neutral
neutral,0.7084,fleet fleek lol,0.0,neutral,neutral
negative,1.0,havent even gotten plane yet cant afford miss flight back boston ugh,0.6923,negative,negative
negative,0.6989,sorry unfollowing,0.3763,negative,neutral
negative,1.0,landed vega allowed leave plane yet thanks making miss flight 1 pm fustrated,0.3597,negative,negative
positive,1.0,loved service staff newark today good service go along way appreciate preciation nj tampa,,positive,neutral
neutral,1.0,fleet fleek cmon fam ok,,neutral,neutral
neutral,0.6842,lord,,neutral,neutral
neutral,1.0,dont fleet fleek,,neutral,neutral
positive,0.3421,dont show larry fedora rt fleet fleek,0.0,neutral,neutral
neutral,0.6247,fleet fleek,0.0,neutral,neutral
neutral,0.6838,fleet fleek r u serious,0.0,neutral,neutral
neutral,0.6447,cant nice thing rt fleet fleek,,neutral,neutral
neutral,0.6837,fleet fleek wow,0.0,neutral,neutral
positive,0.6454,lolol,,positive,neutral
positive,0.654,show u sense humor tongueincheek flight etiquette video,,positive,negative
neutral,0.6709,rt fleet fleek,,neutral,neutral
negative,0.6442,fight air,0.345,negative,neutral
neutral,1.0,fleet fleek see,,neutral,neutral
negative,0.6561,jetblue fleet fleek,0.333,neutral,neutral
negative,0.6582,brand stop shit stop rt fleet fleek,0.6582,neutral,neutral
neutral,0.6869,fleet fleek,0.0,neutral,neutral
positive,0.6556,true maybe wish expedited security haha,,positive,neutral
neutral,0.6404,hate internet lol,,neutral,neutral
positive,0.6436,fleet fleek,,neutral,neutral
negative,0.6455,cmon worse jetbae rt fleet fleek,0.6455,neutral,neutral
neutral,1.0,welllllll rt fleet fleek,,neutral,neutral
neutral,1.0,peak caucasity rt fleet fleek,,neutral,neutral
negative,1.0,hate rt fleet fleek,1.0,neutral,neutral
positive,0.383,power move rt fleet fleek,0.0,neutral,neutral
negative,0.6535,sir rt fleet fleek,0.6535,neutral,neutral
negative,0.6887,stop fleet fleek,0.3757,neutral,neutral
negative,0.7021,stop madness fleet fleek,0.3723,neutral,neutral
neutral,1.0,bro,,neutral,neutral
neutral,0.6501,delete tweet,0.0,negative,neutral
neutral,1.0,fleet fleek,,neutral,neutral
neutral,0.6939,well duh grandfather got hired tsa agent currently pwm,,neutral,neutral
neutral,1.0,also party sister mom three separate reservation tsa let u go together alone,,neutral,neutral
negative,1.0,feel free travel voucher assuage indignation,1.0,positive,neutral
neutral,1.0,also way get printed one record keep whenever fly,,neutral,neutral
neutral,0.6754,window exit give away,,positive,neutral
neutral,1.0,check tomorrow morning flight wen automatically add passbook,,neutral,negative
neutral,1.0,a320s right,,neutral,neutral
neutral,0.631,okayd rt fleet fleek,0.0,neutral,neutral
positive,0.3499,lol guy 4 month ago fleet fleek,0.0,neutral,neutral
neutral,0.6837,fleet fleek,0.0,neutral,neutral
neutral,0.6525,fleet fleek,,neutral,neutral
negative,0.6754,really flight catch 1 pm vega im praying dont miss flight,0.3509,negative,negative
neutral,0.6617,rt fleet fleek,0.0,neutral,neutral
neutral,1.0,really fleet fleek,,neutral,neutral
neutral,0.6546,tell truth pic social medium community manager isnt,0.0,negative,neutral
neutral,0.3505,lol fleet fleek see yall ballin new jet deck,0.0,neutral,neutral
neutral,1.0,fleet fleek,,neutral,neutral
negative,1.0,info flight 704 sju jfk already delayed 2 12 hour,1.0,negative,negative
neutral,0.6667,rt fleet fleek,0.0,neutral,neutral
neutral,1.0,know rt fleet fleek,,neutral,neutral
neutral,0.6591,fleet fleek,0.0,neutral,neutral
neutral,0.6907,brink bankruptcy fleet fleek,,neutral,neutral
neutral,1.0,fleet fleek really jet blue lmao,,neutral,neutral
positive,1.0,lovely rt fleet fleek,,neutral,neutral
neutral,1.0,sent,,neutral,neutral
negative,1.0,fleet fleek hate,0.6802,neutral,neutral
neutral,1.0,looking low rate bos vega late flight june 3 kid sporting event deal break,,neutral,negative
negative,0.7118,rt fleet fleek,0.7118,neutral,neutral
neutral,1.0,stahp rt fleet fleek,,neutral,neutral
neutral,0.6596,fleet fleek happened,,neutral,neutral
negative,0.6657,jet boooo rt fleet fleek,0.6657,neutral,neutral
neutral,1.0,fleet fleek,,neutral,neutral
positive,0.6697,yall tried fleet fleek,,neutral,neutral
neutral,1.0,fleet fleek ihop started,,neutral,neutral
neutral,0.6669,fleet fleek lmao know white person said,0.0,neutral,neutral
negative,0.694,rt fleet fleek,0.694,neutral,neutral
negative,0.6552,let someone black twitter multimedia department,0.6552,negative,neutral
neutral,0.6338,fleet fleek,,neutral,neutral
neutral,0.6532,rt fleet fleek,,neutral,neutral
negative,1.0,delete account,1.0,negative,neutral
negative,1.0,fleet fleek smh yall expect trust childish airline life nah,1.0,neutral,neutral
positive,1.0,love flying u question one ur plane called ny jet,,positive,neutral
neutral,0.647,fleet fleek huh,0.0,neutral,neutral
negative,0.6667,fleet fleek make stop,0.3444,neutral,neutral
neutral,0.6813,lolz fleek,,neutral,neutral
neutral,0.6722,who running tweeter using word fleek,0.0,neutral,neutral
negative,1.0,enough stop flying jetblue,1.0,negative,neutral
negative,1.0,stop usingthisword youre company rt fleet fleek,1.0,neutral,neutral
positive,0.6598,fleet fleek jet blizzue hizouse,,neutral,neutral
negative,0.6559,fleet fleek cant fly anymore good run,0.6559,neutral,neutral
positive,1.0,excited first time sunday march 1 get fly jetblue flight 123 mint jfk looking forward,,positive,negative
neutral,0.6686,okay rt fleet fleek,,neutral,neutral
positive,1.0,hahah love flying jet blue tho,,positive,neutral
neutral,0.6462,fleet fleek lmfao,,neutral,neutral
positive,0.6634,fleet fleek yasss jetblue tell,,neutral,neutral
negative,0.6759,booked flight guy im reconsidering decision reading tweet,0.6759,negative,negative
neutral,0.6563,didnt tweet nah rt fleet fleek,,neutral,neutral
neutral,1.0,woof,,neutral,neutral
neutral,0.7194,fleet fleek fleek dead yet,0.0,neutral,neutral
neutral,1.0,fleet fleek smh,,neutral,neutral
neutral,1.0,put baggage fee back free rt fleet fleek,,neutral,neutral
neutral,1.0,bruhreal tweet fleet fleek,,neutral,neutral
neutral,0.6657,rt fleet fleek,,neutral,neutral
negative,1.0,well ill make sure never fly jetblue,1.0,positive,neutral
neutral,0.6848,fleet fleek,0.0,neutral,neutral
neutral,1.0,please dont rt fleet fleek,,neutral,neutral
positive,0.6583,lmao fleet fleek,,neutral,neutral
neutral,0.6659,digg,,neutral,neutral
positive,0.6625,well go,,neutral,neutral
negative,0.6691,haha fleet fleek,0.3399,neutral,neutral
positive,0.6808,fleet fleek new fav airline,0.0,neutral,neutral
positive,1.0,hopefully application jetblue donut designer finally go proper channel,,positive,neutral
neutral,1.0,really,,negative,neutral
positive,1.0,looking cool,,positive,neutral
neutral,1.0,come,,neutral,neutral
positive,1.0,definitely lot announcement app great,,positive,positive
negative,0.6875,else plane ducttaped ohboy shouldigetoutandpush airplane flying,0.6875,negative,neutral
positive,0.6592,bet,,positive,neutral
negative,1.0,sure go south breakfast though delayed three hour,1.0,negative,negative
positive,1.0,thank appreciate,,positive,positive
positive,0.6633,chair could use tlc power outlet area would bonus headed,,negative,neutral
negative,1.0,someone screen play flight,1.0,negative,negative
positive,0.3493,alright done alternatively youd like charter private jet pitt gladly accept,0.0,neutral,neutral
negative,1.0,great job getting flight 28 10 minute early bad 50 minute counting waiting bag,0.6415,negative,positive
neutral,0.6823,absolutely girlfriend flight booking problem mexico flight next day two send tweet done,,negative,negative
neutral,0.6524,time direct flight jfk pitt official jetblue terminal 5 new york,0.0,positive,negative
negative,1.0,believe irina flipside super disappointed eatup cafe isnt available bos gt sfo flight today,0.6311,negative,negative
negative,1.0,good 2 remind 1914 might horse amp buggy whats little delay right,1.0,negative,neutral
positive,0.6701,good know thanks much,0.0,positive,positive
negative,1.0,unhappy 4 hour delayed flight missed dinner,1.0,negative,negative
neutral,1.0,lap infant 4 mon old,,neutral,neutral
neutral,0.6486,thanks,,positive,positive
positive,1.0,thank quick response trying request abassinet son would great help request,,positive,positive
neutral,1.0,gerne,,neutral,neutral
neutral,0.6771,hey friend stupid question split payment method flight purchase example 12 debit card 12 billmelate flightr thanks,,positive,positive
negative,1.0,called jb 3 timeseverytime auto vmsgyour wait time longer 9 min waited longer 18 min answer,1.0,negative,neutral
neutral,0.6683,expanding nantucket aviation,,neutral,neutral
positive,1.0,mark austin great handling bag issue thanks,,positive,positive
neutral,1.0,believe follow send message,,neutral,neutral
positive,1.0,good one indeed jetblues finest day history,,positive,neutral
neutral,0.6291,would like actual email address follow thank,0.0,neutral,positive
neutral,0.6598,legal department start running social medium channel,0.0,neutral,neutral
negative,1.0,nope regular line multix faster literally direct wheelchair stroller line em,1.0,negative,neutral
positive,1.0,thanks calling right,,positive,positive
negative,0.6959,thank isnt really responding request sending generic environment site,0.6959,positive,positive
neutral,1.0,hello husband bought u trip last night amp noticed last name misspelled thanks,,neutral,positive
negative,0.6565,would like communicate directly customer experience executive joanna geraghty email address,0.6565,negative,neutral
neutral,0.6812,cancelled flight tonight 7 pm dfw bos weather,0.0,negative,negative
positive,1.0,haha thanks guy great unlike gopatriots,,positive,positive
positive,0.6771,thanks,,positive,positive
positive,0.3606,booked work added upgrade seat need upgrade receipt,0.0,neutral,neutral
negative,1.0,understood watched fam heading fl expedited 25m takeoff speaking conference sf,0.3486,positive,neutral
neutral,1.0,whats easiest way get ticket receipt get one check get one online thanks,,neutral,neutral
negative,1.0,effort fix point system 11 day call customer service still account update chasing point fun,1.0,negative,neutral
negative,1.0,tried running curbside selfcheck amp wasting even time ended flight booking problem united upset,0.3505,negative,negative
negative,1.0,keep getting better water plane,0.6658,negative,neutral
neutral,0.6739,thats planned boston traffic due recent weather insane expedited would made,0.0,negative,neutral
positive,1.0,wish best luck im enjoying luxurious free amount leg space rn thanks,,positive,positive
negative,1.0,dont want jetblue tv want jetblue wifi,0.6809,negative,neutral
positive,1.0,great see redsox plane reminder ny side side jfk catsanddogslivingtogether,,positive,positive
negative,1.0,lol estimated departure time plane hasnt even started boarding yet cant even get delay right,1.0,negative,neutral
negative,0.6725,said havent started looking gave 25100 limit nyc waldorf astoria cant find 100 outfit,0.3493,negative,neutral
neutral,0.6883,best track deal special flight offer im liking international option,,neutral,negative
negative,0.7007,yeah im aware hence original msg,0.3647,negative,neutral
negative,1.0,653 update gate got moved complete opposite end terminal airline disaster,0.346,negative,neutral
negative,1.0,asked either way doesnt make flight le delayed,1.0,negative,negative
negative,0.6317,yes filed yesterday around noon claim number havent contacted yet,0.3304,negative,neutral
negative,1.0,shocker flight delayed hour thanks reminding switched delta,1.0,negative,negative
negative,0.6696,courtesy mosaic member anyone request water attended promptly daniel flight 1557 know better,0.6696,negative,negative
negative,1.0,issue online checkin colleague getting webpage available submitting online form,0.6859,negative,neutral
neutral,0.6699,one yet fl 8162,0.0,neutral,neutral
negative,1.0,going let fl382 gate bos time soon sittin tarmac waiting,0.68,negative,neutral
negative,1.0,issue think training amp information would help great ppl service need switch individual group better,1.0,positive,positive
negative,0.6749,rat thats bummer,0.353,negative,neutral
negative,1.0,sloooooow today,0.6726,negative,neutral
neutral,0.6898,happy sfo hopefully youll add pdx soon added two new destination fll sfo la vega last year,,neutral,neutral
positive,1.0,flight jfksfo pure awesomeness mint class tim attendant best airline take note,,positive,negative
negative,1.0,terrible landing 915,1.0,positive,neutral
positive,0.6774,last sleep cali back jfk tomorrow night looking forward another amazing flight,,positive,negative
negative,0.6392,appreciate response already spoke mco response nothing idk thats mean,0.3299,positive,neutral
positive,1.0,free wifi impressive flyfi,,positive,neutral
positive,1.0,mint seat awesome best business class u,,positive,neutral
positive,1.0,thank getting home despite odds reunited delinquent southwest luggage homeward,,positive,positive
negative,1.0,2 word staff training joke,0.6312,positive,neutral
negative,1.0,joke missed connecting flight 5 minute last flight day dont hold 5 minute,0.6322,negative,negative
neutral,0.6836,sorry specified meant ground traffic trying get terminal,0.0,neutral,neutral
negative,0.6444,idea whats going terminal five jfk seems zero traffic movement,0.3333,negative,neutral
negative,1.0,disappointed lack compassion baggage service dept nearly beg get courtesy report,0.3721,negative,neutral
positive,1.0,ok thanks safety first,,positive,positive
negative,0.6835,apparently plane delayed coming san juan monsoon today,0.6835,negative,neutral
neutral,1.0,thats ok sure seemed like jetblue tweeted u back asked u send selfies u watching haha,,positive,neutral
negative,1.0,2 hour delay going nyc denver come man,1.0,negative,negative
negative,1.0,oscar direct tv flight looking forward devastated,0.6915,negative,negative
negative,1.0,fix amp jet bridge 40 minute delay 2nd gatestill waiting jetblues,1.0,negative,neutral
positive,1.0,kudos well deserved wish rest experience today measured example,,positive,neutral
positive,0.6535,ha ha get wake call boarding time please large coffee extralight extra sweet please,,positive,neutral
negative,1.0,didnt work flyfi plus couldnt access abc app spent 19 still missed oscar disappointed,0.3557,negative,neutral
negative,0.6458,think ill come take nap terminal,0.6458,negative,neutral
negative,1.0,safety might priority organization clearly,0.369,negative,neutral
neutral,1.0,pretty sure he saying ricoh great service bos happytohelp,,neutral,neutral
negative,1.0,611 jfk la still delayed,1.0,negative,neutral
negative,1.0,reddit work site ridiculous,1.0,negative,neutral
positive,1.0,thank new big fan,,positive,positive
neutral,1.0,bummer understand business deal thanks answering much le sad,,neutral,positive
positive,0.6831,pilot dont worry folk there backup backup every part plane thanks guy,,positive,positive
negative,0.6652,take blacklist trying work,0.6652,negative,neutral
negative,0.6603,thank hopefully soon supposed leave 1123,0.6603,positive,negative
positive,1.0,thank,,positive,positive
positive,1.0,awesome,,positive,neutral
neutral,1.0,okay anything using contactless emv work internal testing training currently apple pay specific,,neutral,neutral
negative,1.0,hard youre younger sibling cousin want go airplane get better,0.3353,positive,neutral
negative,0.6788,potentially stressful situation reflight booking problem flight diffused helped make awesome,0.3879,positive,negative
negative,0.6366,show flight abc oh well ill live nexttime andthewinneris,0.3458,negative,negative
negative,1.0,ill call morning upset right,1.0,negative,neutral
negative,1.0,im still waiting answer,0.7026,negative,neutral
positive,0.6838,ok thanks help,,positive,positive
positive,1.0,love guy,,positive,neutral
negative,1.0,amount money spent hotel week bc flight cancelled flightlation another flight doesnt make money lost,1.0,negative,negative
negative,1.0,told jfk 5 hour delay reason delay cant hard notify 12 hour notice,1.0,negative,negative
negative,1.0,far worst airline term service jfk,0.3444,negative,neutral
positive,1.0,youre still best,,positive,neutral
positive,0.67,please give jetblue permission world im missing oscar right awful whyabcwhy,,positive,neutral
negative,1.0,thanks delay result scheduling issue weather relate flightd problem,1.0,negative,positive
negative,1.0,le concerned delay notified looked board flight delayed,0.6571,negative,negative
positive,1.0,thanks made,,positive,positive
negative,1.0,boarding flight 0510 captain informs could exceed the16 hr regulation turned plane around incredible,0.3477,negative,negative
positive,1.0,thanks quick response finger crossed plane get,,positive,positive
negative,1.0,watch oscar though right abc flight missingtheoscars,0.6925,negative,negative
positive,0.6368,thank finger crossed,,positive,positive
negative,0.6724,ooookay thats silly guess watching oscar purely twitter reaction tonight oscar,0.3492,negative,neutral
negative,0.6669,ive heard new flight tap pay reader accept apple pay thought impossible amp certainly emv compliant,0.3735,neutral,negative
neutral,0.6462,youre taking new orleans two week ill picture shiver forevercold,,positive,neutral
neutral,0.6926,flight 1472 ffl lga scheduled departure 815p,,neutral,negative
negative,1.0,2nd time row flight jfk disaster last time wasnt allowed fly stndby 2 hour delay wout notification,1.0,negative,negative
negative,1.0,bunch flight delayed ffl northeast destination announcement gate whats going,1.0,negative,negative
negative,1.0,im dissapointed way paseengers flight 0510 santo domingo treated 9hrs board plane info given,0.3444,negative,negative
neutral,1.0,id appreciate would also mind contacting pilot flight request allowed announce intercom,,negative,negative
neutral,0.6442,want keep updated who wearing amp who amp win nice like,0.0,neutral,neutral
